word,def,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
관교어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1698.7,30000,032-880-5413,,인천광역시 미추홀구 관교동 471,인천광역시 미추홀구청,37.4459306,126.6908682,2021-05-31
관선어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1610.6,30000,032-880-5413,,인천광역시 미추홀구 문학동 383-7,인천광역시 미추홀구청,37.4378587,126.6874889,2021-05-31
관청어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1485.6,30000,032-880-5413,,인천광역시 미추홀구 문학동 336-6,인천광역시 미추홀구청,37.43979417,126.6805552,2021-05-31
나리어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1504,30000,032-880-5413,,인천광역시 미추홀구 학익동 52-7,인천광역시 미추홀구청,,,2021-05-31
낙섬어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,655.7,30000,032-880-5413,,인천광역시 미추홀구 용현동 621-38,인천광역시 미추홀구청,,,2021-05-31
노적어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,2426.5,30000,032-880-5413,,인천광역시 미추홀구 학익동 712,인천광역시 미추홀구청,,,2021-05-31
다솔어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,2370.2,30000,032-880-5413,,인천광역시 미추홀구 주안동 1619,인천광역시 미추홀구청,,,2021-05-31
도천어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1800,30000,032-880-5413,,인천광역시 미추홀구 문학동 351-1,인천광역시 미추홀구청,37.4388732,126.6782708,2021-05-31
동화어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1555.7,30000,032-880-5413,,인천광역시 미추홀구 도화동 460,인천광역시 미추홀구청,,,2021-05-31
두리어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1052.2,30000,032-880-5413,,인천광역시 미추홀구 주안동 923-3,인천광역시 미추홀구청,,,2021-05-31
매소홀어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,3006.9,30000,032-880-5413,,인천광역시 미추홀구 학익동 738,인천광역시 미추홀구청,,,2021-05-31
모리포어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,5589.7,30000,032-880-5413,,인천광역시 미추홀구 학익동 721-6,인천광역시 미추홀구청,,,2021-05-31
묵동어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1500,30000,032-880-5413,,인천광역시 미추홀구 학익동 677-3,인천광역시 미추홀구청,,,2021-05-31
미니어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1653.2,30000,032-880-5413,,인천광역시 미추홀구 주안동 1501,인천광역시 미추홀구청,,,2021-05-31
미추홀근린공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,38950,30000,032-880-5413,,"인천광역시 미추홀구 주안3,학익2동 일원",인천광역시 미추홀구청,,,2021-05-31
